student_id,avg_rate,avg_score,avg_homework_completion,avg_homework_grade
S00002,0.54000000000000000000,83.5000000000000000,0.45000000000000000000,1.6750000000000000
S00003,0.44000000000000000000,63.0000000000000000,0E-20,3.0000000000000000
S00004,0.35416666666666666667,79.5000000000000000,0.45000000000000000000,1.8200000000000000
S00005,0.53448275862068965517,70.5000000000000000,0.59166666666666666667,3.2000000000000000
S00006,0.40000000000000000000,64.5000000000000000,0.50000000000000000000,2.7400000000000000
S00007,0.51724137931034482759,74.2500000000000000,0.73750000000000000000,1.2333333333333333
S00008,0.48529411764705882353,95.0000000000000000,0.87500000000000000000,2.8363636363636364
S00009,0.46153846153846153846,94.5000000000000000,0E-20,2.8000000000000000
S00010,0.45000000000000000000,79.6666666666666667,0.76666666666666666667,2.2333333333333333
S00011,0.44285714285714285714,67.6000000000000000,0.72000000000000000000,1.7750000000000000
S00012,0.48275862068965517241,68.0000000000000000,0.63750000000000000000,2.9000000000000000
S00013,0.40384615384615384615,64.5000000000000000,0.97500000000000000000,1.9250000000000000
S00014,0.42187500000000000000,77.0000000000000000,0.57000000000000000000,0.85000000000000000000
S00015,0.46000000000000000000,93.0000000000000000,0E-20,1.00000000000000000000
S00016,0.52941176470588235294,60.0000000000000000,0.90000000000000000000,2.4000000000000000
S00017,0.53703703703703703704,68.5000000000000000,0.90000000000000000000,2.6750000000000000
S00018,0.48076923076923076923,47.5000000000000000,0.97500000000000000000,2.4100000000000000
S00019,0.45312500000000000000,57.0000000000000000,0.71000000000000000000,3.1200000000000000
S00020,0.41176470588235294118,72.7500000000000000,0.87500000000000000000,2.7333333333333333
S00021,0.50000000000000000000,80.0000000000000000,0.47500000000000000000,2.0000000000000000
S00022,0.42187500000000000000,56.6666666666666667,0.86666666666666666667,4.0000000000000000
S00023,0.36538461538461538462,55.0000000000000000,0.26666666666666666667,3.0600000000000000
S00024,0.36764705882352941176,70.3333333333333333,0.61666666666666666667,3.8250000000000000
S00025,0.37931034482758620690,65.5000000000000000,0.45000000000000000000,3.1750000000000000
S00026,0.29411764705882352941,44.0000000000000000,0E-20,3.0000000000000000
S00027,0.50000000000000000000,100.0000000000000000,0.95000000000000000000,2.0600000000000000
S00028,0.48387096774193548387,65.2000000000000000,0.88000000000000000000,2.0000000000000000
S00029,0.48437500000000000000,65.0000000000000000,0.90000000000000000000,1.6200000000000000
S00030,0.56944444444444444444,71.8000000000000000,0.73000000000000000000,1.6666666666666667
S00032,0.41666666666666666667,80.5000000000000000,0.97500000000000000000,3.0000000000000000
S00033,0.38000000000000000000,66.0000000000000000,0.80000000000000000000,2.0000000000000000
S00034,0.34000000000000000000,91.7500000000000000,0.42500000000000000000,2.0000000000000000
S00035,0.55172413793103448276,60.5000000000000000,0.50000000000000000000,1.7400000000000000
S00036,0.47142857142857142857,61.0000000000000000,0.61666666666666666667,3.5750000000000000
S00037,0.45454545454545454545,90.0000000000000000,0.87500000000000000000,2.5222222222222222
S00038,0.37096774193548387097,80.0000000000000000,0.90000000000000000000,2.5285714285714286
S00039,0.37500000000000000000,65.5000000000000000,0.90000000000000000000,1.2333333333333333
S00040,0.47916666666666666667,75.7500000000000000,0.42500000000000000000,2.1000000000000000
S00041,0.40000000000000000000,90.0000000000000000,0.80000000000000000000,2.5750000000000000
S00042,0.43055555555555555556,82.5000000000000000,0.73750000000000000000,1.9250000000000000
S00043,0.41176470588235294118,85.0000000000000000,1.00000000000000000000,2.6750000000000000
S00044,0.34848484848484848485,78.3333333333333333,0.93333333333333333333,2.5875000000000000
S00045,0.51428571428571428571,61.5000000000000000,0.70000000000000000000,2.0000000000000000
S00046,0.32432432432432432432,79.5000000000000000,0.95000000000000000000,1.6714285714285714
S00047,0.44117647058823529412,73.1428571428571429,0.80714285714285714286,3.6000000000000000
S00049,0.51162790697674418605,53.0000000000000000,0.95000000000000000000,2.4750000000000000
